,price_USD,revenue,publisherClass
0,99.99,8055097.0,AAA
1,59.99,7882151.0,Indie
2,49.99,7815247.0,Indie
3,19.99,7756399.0,Indie
4,59.99,7629252.0,AA
5,29.99,7540563.0,Indie
6,29.99,7534369.0,Indie
7,29.99,7481940.0,Indie
8,29.99,7091792.0,Indie
9,29.99,6950952.0,AA
10,49.99,6828446.0,AA
11,24.99,6420393.0,Indie
12,29.99,6381185.0,AAA
13,35.01,6048340.0,Indie
14,29.99,5719324.0,Indie
15,59.99,5516030.0,AA
16,19.99,5478333.0,Indie
17,29.99,5475592.0,Indie
18,24.99,5312327.0,AA
19,24.99,5058868.0,Indie
20,24.99,4810868.0,Indie
21,49.99,4747832.0,AAA
22,0.0,4707782.0,Indie
23,12.99,4663468.0,Indie
24,19.99,4644684.0,Indie
25,17.99,4552032.0,Indie
26,0.0,4523839.944318563,Indie
27,0.0,4263470.0,Indie
28,24.99,4238137.0,Indie
29,14.99,4161183.0,Indie
30,24.99,4113334.0,Indie
31,17.99,4047331.0,Indie
32,19.99,4042356.0,Indie
33,29.99,3991591.0,AA
34,49.99,3953243.0,AA
35,32.99,3740762.0,Indie
36,9.99,3689551.0,Indie
37,20.99,3559827.0,Indie
38,49.99,3465018.0,AAA
39,34.99,3428483.0,AA
40,44.99,3406127.0,Indie
41,49.99,3387809.0,AA
42,2.99,3369649.0,Indie
43,13.99,3342356.0,Indie
44,12.99,3322822.0,Indie
45,19.99,3272209.0,AA
46,29.99,3262820.0,Indie
47,19.99,3262379.0,Indie
48,69.99,3182368.0,AAA
49,10.99,3180800.0,AA
50,17.99,263733.0,Indie
51,19.99,263197.0,Indie
52,24.99,263004.0,Indie
53,4.99,262728.0,Indie
54,19.99,260940.0,Indie
55,8.99,260449.0,Indie
56,0.0,259513.0,Indie
57,9.99,259157.0,Indie
58,29.99,258574.0,Indie
59,29.99,256387.0,Indie
60,21.99,256071.0,Indie
61,13.99,255512.0,Indie
62,19.99,255441.0,AA
63,29.99,254966.0,Indie
64,24.99,253627.0,Indie
65,19.99,252953.0,Indie
66,19.99,251556.0,Indie
67,14.99,250950.0,Indie
68,19.99,249767.0,Indie
69,9.99,249274.0,Indie
70,39.99,248804.0,Indie
71,7.99,243845.0,Indie
72,19.99,241254.0,Indie
73,9.99,240922.0,Indie
74,4.99,239666.0,Indie
75,24.99,237361.0,Indie
76,0.0,235863.0,Indie
77,19.99,235724.0,Indie
78,4.99,235604.0,Indie
79,15.99,235479.0,Indie
80,5.99,232416.0,Indie
81,14.99,230628.0,AA
82,19.99,229922.0,Indie
83,11.99,227666.0,Indie
84,11.99,227642.0,Indie
85,14.99,225541.0,Indie
86,19.99,224409.0,Indie
87,6.99,224151.0,Indie
88,16.99,223483.0,Indie
89,12.99,223470.0,Indie
90,24.99,222603.0,Indie
91,14.99,222412.0,Indie
92,0.0,221326.0,Indie
93,49.99,220924.0,AA
94,19.99,220170.0,Indie
95,14.99,219632.0,Indie
96,39.99,218599.0,AA
97,9.99,218518.0,Indie
98,24.99,218069.0,Indie
99,13.99,218047.0,Indie
100,39.99,217345.0,Indie
101,14.99,217085.0,Indie
102,39.99,217025.0,Indie
103,11.99,216851.0,Indie
104,13.99,216265.0,Indie
105,19.99,215401.0,Indie
106,29.99,214688.0,AA
107,14.99,214566.0,Indie
108,12.99,213201.0,Indie
109,29.99,212197.0,Indie
110,8.99,210967.0,Indie
111,39.99,208625.0,AA
112,32.0,208569.0,Indie
113,19.99,208558.0,Indie
114,15.99,207588.0,Indie
115,9.99,207390.0,Indie
116,6.99,206875.0,Indie
117,0.0,205131.0,Indie
118,7.99,202570.0,Indie
119,7.99,202048.0,Indie
120,14.99,201940.0,Indie
121,19.99,200632.0,Indie
122,4.99,199035.0,Indie
123,19.99,198731.0,Indie
124,9.99,198689.0,Indie
125,19.99,198058.0,Indie
126,10.99,197843.0,Indie
127,10.99,197661.0,Indie
128,11.99,195942.0,Indie
129,17.99,195795.0,Indie
130,19.99,195440.0,Indie
131,17.99,194382.0,Indie
132,0.0,193594.0,AAA
133,11.99,193532.0,Indie
134,19.99,191108.0,Indie
135,7.99,189258.0,Indie
136,11.99,188260.0,Indie
137,18.99,187908.0,Indie
138,18.99,186670.0,Indie
139,0.0,184743.0,Indie
140,16.99,184444.0,Indie
141,11.99,183781.0,Indie
142,9.99,183531.0,Indie
143,11.99,182797.0,Indie
144,9.99,182249.0,Indie
145,19.99,181284.0,Indie
146,24.99,180957.0,Indie
147,34.99,180254.0,Indie
148,12.99,180236.0,Indie
149,12.99,179792.0,Indie
150,17.99,179743.0,Indie
151,39.99,179703.0,Indie
152,9.99,179631.0,Indie
153,8.99,179352.0,Indie
154,5.99,178996.0,Indie
155,49.99,178950.0,AAA
156,14.99,177736.0,Indie
157,11.99,176781.0,Indie
158,5.99,175228.0,Indie
159,9.99,175194.0,Indie
160,9.99,174298.0,Indie
161,14.99,174069.0,Indie
162,3.99,173665.0,Indie
163,17.99,173502.0,Indie
164,24.99,173471.0,Indie
165,34.99,173273.0,Indie
166,14.99,172919.0,Indie
167,19.99,172222.0,AA
168,19.99,171463.0,Indie
169,4.99,171352.0,Indie
170,11.99,171160.0,Indie
171,14.99,170271.0,Indie
172,19.99,170266.0,Indie
173,13.99,169800.0,Indie
174,39.99,169077.0,AA
175,19.99,168841.0,Indie
176,19.99,167966.0,Indie
177,19.99,167966.0,Indie
178,19.99,167966.0,Indie
179,14.99,166819.0,Indie
180,12.99,165452.0,Indie
181,19.99,165375.0,Indie
182,19.99,163926.0,Indie
183,5.99,163793.0,Indie
184,14.99,163789.0,Indie
185,19.99,163307.0,Indie
186,14.99,163296.0,Indie
187,24.99,162429.0,Indie
188,22.99,160313.0,Indie
189,19.99,159911.0,Indie
190,6.99,158283.0,Indie
191,0.0,158090.0,Indie
192,6.99,157941.0,Indie
193,9.99,157701.0,Indie
194,39.99,157178.0,AA
195,19.99,156773.0,Indie
196,29.99,155061.0,Indie
197,1.99,153860.0,Indie
198,19.99,153619.0,AA
199,14.99,153346.0,Indie
200,9.99,152748.0,Indie
201,0.0,151939.1911440809,Indie
202,18.99,151439.0,Indie
203,3.99,151366.0,Indie
204,18.99,151064.0,Indie
205,19.99,149494.0,Indie
206,19.99,148767.0,Indie
207,4.99,147185.0,Indie
208,14.99,146384.0,Indie
209,10.99,146188.0,Indie
210,5.99,145765.0,Indie
211,0.0,145540.0,Indie
212,4.99,145336.0,AA
213,14.99,144122.0,Indie
214,18.35,144011.0,Indie
215,12.99,143830.0,Indie
216,14.99,143625.0,Indie
217,14.99,143445.0,Indie
218,5.99,143115.0,Indie
219,9.99,142092.0,Indie
220,15.99,141787.0,Indie
221,11.99,140951.0,Indie
222,10.99,140940.0,Indie
223,9.99,140690.0,Indie
224,7.99,140013.0,Indie
225,0.0,138164.27473883974,Indie
226,21.99,138039.0,Indie
227,14.99,137489.0,Indie
228,14.99,137453.0,Indie
229,24.99,136381.0,Indie
230,8.99,135974.0,Indie
231,29.99,135445.0,Indie
232,11.99,134665.0,Indie
233,4.99,134579.0,Indie
234,19.99,134478.0,Indie
235,49.99,133582.0,Indie
236,19.99,133472.0,Indie
237,16.99,132527.0,AA
238,17.99,132521.0,Indie
239,9.99,132333.0,Indie
240,6.99,132078.0,Indie
241,9.25,131680.0,Indie
242,21.99,131175.0,Indie
243,14.99,130913.0,Indie
244,17.9,129987.0,Indie
245,19.99,129800.0,Indie
246,5.99,129211.0,Indie
247,17.99,129153.0,Indie
248,5.99,128483.0,Indie
249,19.99,127676.0,Indie
250,12.99,126481.0,Indie
251,9.99,126462.0,Indie
252,14.99,126302.0,Indie
253,7.99,125882.0,Indie
254,19.99,124545.0,Indie
255,4.99,124273.0,AAA
256,19.99,124094.0,Indie
257,4.99,124033.0,Indie
258,19.99,123977.0,Indie
259,15.99,123743.0,Indie
260,9.99,122952.0,Indie
261,29.99,122358.0,Indie
262,8.99,122090.0,Indie
263,24.99,121847.0,Indie
264,0.0,120624.0,Indie
265,12.99,119970.0,Indie
266,19.99,119956.0,Indie
267,16.99,119615.0,AA
268,24.99,119403.0,Indie
269,9.99,118127.0,AA
270,6.99,117466.0,Indie
271,24.99,117246.0,AA
272,14.99,117115.0,Indie
273,1.99,117047.0,Indie
274,19.99,116875.0,Indie
275,19.99,116681.0,Indie
276,12.49,116257.0,Indie
277,8.99,115933.0,Indie
278,7.99,115876.0,Indie
279,3.99,114851.0,Indie
280,6.99,114460.0,Indie
281,4.99,114434.0,AA
282,19.99,114045.0,Indie
283,19.99,113468.0,Indie
284,13.99,113195.0,Indie
285,10.99,113186.0,Indie
286,11.99,112737.0,Indie
287,4.99,112651.0,AAA
288,14.99,112505.0,Indie
289,12.99,112150.0,Indie
290,17.99,112147.0,Indie
291,24.99,111979.0,Indie
292,49.99,111912.0,Indie
293,29.99,111658.0,Indie
294,17.99,111604.0,Indie
295,19.99,111599.0,Indie
296,15.99,111150.0,Indie
297,16.99,110885.0,Indie
298,15.99,110745.0,Indie
299,6.5,110721.0,Indie
300,19.99,109973.0,Indie
301,4.99,109304.0,Indie
302,7.99,108802.0,Indie
303,6.99,108603.0,Indie
304,6.99,108551.0,Indie
305,15.99,108249.0,Indie
306,0.0,107932.0,Indie
307,19.99,107442.0,Indie
308,5.49,107153.0,Indie
309,9.99,106342.0,Indie
310,24.99,106200.0,Indie
311,24.99,106071.0,Indie
312,19.99,105983.0,Indie
313,9.99,105834.0,Indie
314,9.99,105556.0,Indie
315,10.99,105087.0,Indie
316,19.99,104827.0,Indie
317,9.99,104104.0,Indie
318,14.99,103914.0,Indie
319,19.99,103875.0,Indie
320,7.99,103498.0,Indie
321,8.99,103268.0,Indie
322,24.99,103232.0,Indie
323,19.99,103206.0,Indie
324,39.99,103113.0,Indie
325,39.99,103057.0,Indie
326,24.99,102837.0,Indie
327,24.99,102217.0,Indie
328,24.99,101998.0,Indie
329,7.99,101925.0,Indie
330,24.99,101371.0,Indie
331,19.99,101324.0,Indie
332,8.99,101261.0,Indie
333,19.99,101051.0,Indie
334,13.99,100118.0,Indie
335,11.99,99794.0,Indie
336,19.99,99704.0,Indie
337,19.99,99360.0,Indie
338,19.99,99105.0,Indie
339,3.99,98977.0,Indie
340,14.99,98718.0,Indie
341,16.99,98647.0,Indie
342,19.99,98573.0,Indie
343,7.99,98378.0,Indie
344,14.99,97527.0,Indie
345,14.99,97404.0,Indie
346,24.99,97228.0,Indie
347,14.99,97203.0,Indie
348,18.99,95671.0,Indie
349,9.99,95478.0,Indie
350,9.99,94839.0,Indie
351,6.99,94804.0,Indie
352,15.99,94711.0,Indie
353,3.99,94355.0,Indie
354,19.99,93469.0,Indie
355,10.99,93379.0,Indie
356,0.0,92977.0,Indie
357,29.99,92768.0,AA
358,19.99,92665.0,AA
359,12.99,92662.0,Indie
360,0.0,92146.0,Indie
361,17.99,91150.0,Indie
362,12.99,90795.0,Indie
363,14.99,90751.0,Indie
364,4.99,90620.0,Indie
365,19.99,90446.0,Indie
366,12.99,90157.0,Indie
367,54.99,89539.0,Indie
368,49.99,88877.0,AAA
369,24.99,88683.0,AA
370,19.99,88551.0,Indie
371,14.99,88271.0,Indie
372,14.99,87827.0,Indie
373,29.99,87251.0,Indie
374,24.99,87128.0,Indie
375,14.99,87084.0,Indie
376,6.99,87038.0,Indie
377,19.99,86902.0,Indie
378,4.99,86829.0,Indie
379,15.99,86660.0,AA
380,13.99,86608.0,Indie
381,19.99,86377.0,Indie
382,17.99,86169.0,Indie
383,24.99,85885.0,Indie
384,0.0,85835.0,Indie
385,44.99,85274.0,Indie
386,5.99,85154.0,Indie
387,6.99,85060.0,Indie
388,9.99,84846.0,Indie
389,9.99,84708.0,Indie
390,9.99,84104.0,Indie
391,6.99,83942.0,Indie
392,14.99,83875.0,Indie
393,19.99,83756.0,Indie
394,11.99,83727.0,Indie
395,14.99,83552.0,Indie
396,19.99,82715.0,Indie
397,9.99,82653.0,Indie
398,9.99,81316.0,Indie
399,19.99,80472.0,Indie
400,7.99,80323.0,Indie
401,6.99,80184.0,Indie
402,29.99,80055.0,Indie
403,17.99,79862.0,Indie
404,9.99,79636.0,Indie
405,6.99,79632.0,AA
406,20.0,79600.0,Indie
407,14.99,79552.0,Indie
408,6.99,79363.0,Indie
409,24.99,79354.0,AA
410,19.99,78981.0,Indie
411,12.99,78886.0,Indie
412,13.99,78871.0,Indie
413,14.99,78504.0,Indie
414,29.99,78165.0,Indie
415,24.99,78067.0,Indie
416,19.99,78048.0,Indie
417,12.99,77800.0,Indie
418,14.99,77507.0,Indie
419,19.99,77493.0,Indie
420,6.99,76991.0,Indie
421,24.99,76979.0,Indie
422,24.99,76979.0,Indie
423,24.99,76979.0,Indie
424,0.0,76971.0,Indie
425,4.99,76628.0,Indie
426,17.99,76619.0,Indie
427,4.99,76256.0,Indie
428,9.99,75575.0,Indie
429,2.99,75559.0,Indie
430,29.99,75115.0,AA
431,11.99,74807.0,Indie
432,34.99,74572.0,Indie
433,29.99,74220.0,Indie
434,9.99,74140.0,Indie
435,17.99,73977.0,AA
436,9.99,73926.0,Indie
437,59.99,73845.0,AA
438,9.99,73725.0,Indie
439,9.99,73720.0,Indie
440,9.99,73563.0,Indie
441,10.99,73464.0,Indie
442,19.99,73449.0,Indie
443,39.99,73248.0,AA
444,17.99,73029.0,Indie
445,19.99,73024.0,Indie
446,9.99,72746.0,Indie
447,24.99,72642.0,Indie
448,24.99,72549.0,Indie
449,2.99,72453.0,Indie
450,12.99,72346.0,Indie
451,24.99,72271.0,Indie
452,0.0,72154.0,Indie
453,2.99,72149.0,Indie
454,14.99,72013.0,Indie
455,19.99,71874.0,Indie
456,19.99,71794.0,Indie
457,19.99,71794.0,Indie
458,19.99,71794.0,Indie
459,9.99,71342.0,Indie
460,2.99,71247.0,Indie
461,19.99,70779.0,AA
462,24.99,70723.0,Indie
463,11.99,70667.0,Indie
464,39.99,70650.0,AA
465,29.99,70561.0,Indie
466,19.99,70526.0,Indie
467,4.99,70517.0,Indie
468,24.99,70380.0,Indie
469,14.99,70247.0,Indie
470,9.99,70215.0,Indie
471,9.99,70127.0,Indie
472,19.99,70094.0,Indie
473,11.99,69687.0,Indie
474,4.99,69616.0,Indie
475,4.99,69495.0,Indie
476,5.99,68967.0,Indie
477,14.99,68584.0,Indie
478,23.99,68091.0,Indie
479,14.99,68004.0,Indie
480,16.99,67981.0,Indie
481,9.99,67956.0,Indie
482,6.99,67755.0,Indie
483,11.99,67732.0,Indie
484,9.99,67713.0,Indie
485,14.99,67643.0,Indie
486,8.99,67599.0,Indie
487,4.99,67473.0,Indie
488,9.99,67468.0,Indie
489,24.99,67386.0,Indie
490,14.99,67132.0,Indie
491,14.99,66935.0,Indie
492,6.99,66927.0,Indie
493,3.5,66829.0,Indie
494,29.99,66782.0,Indie
495,24.99,66573.0,Indie
496,14.99,66322.0,Indie
497,6.99,66300.0,Indie
498,9.99,66052.0,Indie
499,29.99,66026.0,AA
500,19.99,65739.0,Indie
501,15.99,65723.0,Indie
502,19.99,65693.0,Indie
503,19.99,65271.0,Indie
504,3.49,65249.0,Indie
505,0.0,65173.0,AAA
506,9.99,65063.0,Indie
507,19.99,65028.0,Indie
508,9.99,64931.0,Indie
509,9.99,64494.0,Indie
510,12.99,64472.0,Indie
511,7.99,64395.0,Indie
512,12.49,64320.0,Indie
513,19.99,64291.0,Indie
514,24.99,64035.0,Indie
515,3.99,63683.0,Indie
516,0.0,63264.0,Indie
517,2.99,63246.0,Indie
518,12.99,63223.0,Indie
519,19.99,62891.0,Indie
520,9.99,62883.0,Indie
521,34.99,62867.0,AA
522,7.0,62659.0,Indie
523,14.99,62520.0,Indie
524,6.99,62500.0,Indie
525,5.99,62445.0,Indie
526,8.99,62413.0,Indie
527,19.99,62346.0,Indie
528,19.99,62334.0,Indie
529,4.99,62317.0,Indie
530,9.99,62138.0,Indie
531,7.99,62059.0,Indie
532,9.99,61946.0,Indie
533,0.0,61737.0,Indie
534,19.99,61496.0,Indie
535,24.99,61396.0,Indie
536,14.99,61289.0,Indie
537,16.99,61223.0,Indie
538,19.99,61087.0,Indie
539,13.99,61068.0,Indie
540,0.0,60846.0,Indie
541,8.99,60731.0,Indie
542,9.99,60707.0,Indie
543,19.99,60574.0,Indie
544,14.99,60485.0,Indie
545,15.99,60119.0,Indie
546,14.99,60002.0,Indie
547,14.99,59978.0,Indie
548,19.99,59887.0,Indie
549,34.99,59790.0,AA
550,24.99,59625.0,Indie
551,39.99,59473.0,Indie
552,12.99,59464.0,Indie
553,11.99,59390.0,Indie
554,4.99,59326.0,Indie
555,2.99,59016.0,Indie
556,29.99,3139302.0,Indie
557,0.0,3087626.0,Indie
558,29.99,3080764.0,Indie
559,24.99,3008517.0,Indie
560,24.99,2986028.0,Indie
561,29.99,2981479.0,AA
562,54.99,2934588.0,Indie
563,59.99,2846837.0,AA
564,17.99,2827661.0,Indie
565,14.99,2771018.0,Indie
566,24.99,2766205.0,Indie
567,39.99,2739562.0,AA
568,39.99,2689142.0,AAA
569,11.99,2686565.0,Indie
570,11.99,2686565.0,Indie
571,19.99,2678385.0,Indie
572,14.99,2657104.0,Indie
573,19.99,2639042.0,Indie
574,0.0,2562503.7123580766,Indie
575,34.99,2562417.0,Indie
576,24.99,2547970.0,Indie
577,14.99,2512969.0,Indie
578,29.99,2465573.0,AAA
579,0.0,2460116.0,Indie
580,39.99,2451023.0,Indie
581,19.99,2449168.0,Indie
582,19.99,2443731.0,Indie
583,29.99,2442964.0,AA
584,14.99,2346551.0,Indie
585,39.99,2314221.0,Indie
586,59.99,2299213.0,Indie
587,29.99,2265184.0,AA
588,24.99,2255205.0,Indie
589,49.99,2247373.0,AA
590,59.99,2207967.0,AA
591,0.0,2197863.0,Indie
592,24.99,2172825.0,Indie
593,19.99,2159417.0,AA
594,14.99,2112751.0,Indie
595,4.99,2094731.0,Indie
596,39.99,2060085.0,AA
597,0.0,2044690.0,Indie
598,29.99,2033656.0,AA
599,24.99,2002691.0,Indie
600,29.99,1998591.0,AA
601,39.99,1967699.0,AA
602,6.99,1945765.0,Indie
603,27.99,1913709.0,Indie
604,69.99,1902618.0,AAA
605,19.99,1900409.0,AA
606,59.99,1898159.0,AA
607,59.99,1898159.0,AA
608,4.99,58819.0,Indie
609,10.99,58776.0,Indie
610,12.99,58736.0,Indie
611,19.99,58487.0,Indie
612,7.99,58380.0,Indie
613,8.99,58249.0,Indie
614,4.99,58248.0,Indie
615,39.99,58243.0,Indie
616,19.99,58027.0,Indie
617,4.99,58010.0,Indie
618,12.99,57974.0,Indie
619,4.99,57919.0,AAA
620,7.99,57880.0,Indie
621,9.99,57683.0,Indie
622,7.99,57614.0,Indie
623,11.99,57464.0,Indie
624,0.0,57436.540278163455,Indie
625,8.99,57387.0,Indie
626,8.99,57387.0,Indie
627,4.99,57371.0,Indie
628,3.99,57163.0,Indie
629,4.99,57114.0,Indie
630,9.99,57000.0,Indie
631,14.99,56928.0,Indie
632,29.99,56826.0,Indie
633,6.99,56611.0,Indie
634,2.99,56542.0,Indie
635,5.99,56264.0,Indie
636,19.99,56222.0,AA
637,19.99,56116.0,Indie
638,5.99,56109.0,Indie
639,24.99,56094.0,Indie
640,9.99,56018.0,Indie
641,19.99,55934.0,Indie
642,19.99,55837.0,Indie
643,9.99,55727.0,Indie
644,29.99,55543.0,Indie
645,14.99,55440.0,Indie
646,7.99,55429.0,Indie
647,29.99,55324.0,Indie
648,3.99,55254.0,Indie
649,7.99,55093.0,Indie
650,12.99,54904.0,Indie
651,6.99,54805.0,Indie
652,4.99,54457.0,Indie
653,9.99,54356.0,Indie
654,9.99,54348.0,Indie
655,6.99,54316.0,Indie
656,22.99,54293.0,Indie
657,14.99,54185.0,AAA
658,19.99,54015.0,Indie
659,14.99,53847.0,Indie
660,19.99,53836.0,Indie
661,9.99,53711.0,Indie
662,11.99,53606.0,Indie
663,12.45,53577.0,Indie
664,11.99,53520.0,Indie
665,5.99,53201.0,Indie
666,7.99,53194.0,Indie
667,6.99,53093.0,Indie
668,14.99,53038.0,Indie
669,2.99,52877.0,Indie
670,9.99,52803.0,Indie
671,19.99,52635.0,Indie
672,24.99,52578.0,Indie
673,39.99,52181.0,AA
674,29.99,52146.0,Indie
675,19.99,51994.0,Indie
676,7.99,51747.0,Indie
677,13.99,51562.0,Indie
678,8.99,51514.0,Indie
679,4.99,51396.0,AA
680,12.99,51368.0,Indie
681,9.99,51305.0,Indie
682,11.99,51279.0,Indie
683,9.99,51169.0,Indie
684,12.0,51096.0,Indie
685,9.99,51051.0,Indie
686,15.99,50813.0,Indie
687,15.99,50645.0,Indie
688,14.99,50297.0,Indie
689,6.99,50253.0,Indie
690,14.99,50242.0,Indie
691,8.99,50240.0,Indie
692,6.99,50102.0,Indie
693,0.0,49957.0,Indie
694,7.99,49651.0,Indie
695,9.99,49590.0,Indie
696,0.0,49428.0,Indie
697,6.99,49239.0,Indie
698,19.99,49191.0,Indie
699,17.99,49173.0,Indie
700,12.99,49153.0,Indie
701,0.0,49147.0,Indie
702,15.99,49054.0,Indie
703,12.99,49036.0,Indie
704,11.99,49026.0,Indie
705,19.99,49010.0,Indie
706,14.99,48929.0,Indie
707,9.99,48853.0,Indie
708,1.99,48823.0,Indie
709,14.99,48781.0,AA
710,19.99,48668.0,Indie
711,9.99,48572.0,Indie
712,11.99,48495.0,Indie
713,12.99,48490.0,Indie
714,9.99,48382.0,Indie
715,24.99,48303.0,Indie
716,10.99,48270.0,Indie
717,4.99,48107.0,Indie
718,6.99,47875.0,Indie
720,19.99,47790.0,Indie
721,6.99,47737.0,Indie
722,19.99,47476.0,Indie
723,19.99,47037.0,Indie
724,9.99,46668.0,Indie
725,14.99,46626.0,Indie
726,2.0,46602.0,Indie
727,19.99,46470.0,Indie
728,19.99,46195.0,Indie
729,24.99,46151.0,Indie
730,17.99,46101.0,Indie
731,4.99,46036.0,Indie
732,14.99,45723.0,Indie
733,2.99,45518.0,Indie
734,14.99,45463.0,AA
735,15.99,45414.0,Indie
736,19.99,45410.0,Indie
737,6.99,45337.0,Indie
738,24.99,45198.0,Indie
739,11.99,45169.0,Indie
740,6.99,45074.0,Indie
741,9.99,44989.0,Indie
742,29.99,44908.0,Indie
743,19.99,44905.0,Indie
744,19.99,44449.0,AA
745,14.99,44231.0,Indie
746,19.99,44160.0,Indie
747,14.99,44103.0,Indie
748,14.99,43908.0,Indie
749,29.99,43887.0,Indie
750,5.99,43768.0,Indie
751,19.99,43725.0,Indie
752,29.99,43678.0,Indie
753,19.99,43600.0,Indie
754,14.99,43542.0,Indie
755,6.99,43017.0,Indie
756,49.99,42966.0,Indie
757,3.99,42955.0,Indie
758,0.0,42896.0,Indie
759,0.0,42896.0,Indie
760,12.99,42892.0,Indie
761,2.99,42836.0,Indie
762,2.99,42568.0,Indie
763,19.99,42508.0,Indie
764,11.99,42490.0,Indie
765,7.99,42377.0,Indie
766,9.99,42371.0,Indie
767,9.99,42332.0,AAA
768,34.99,42280.0,Indie
