area,year,series,value,location,country_code
Ecuador,2014,Researchers per million inhabitants (FTE),399.5,,218
Egypt,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,818
Egypt,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,818
Egypt,2010,Researchers per million inhabitants (FTE),492.4,,818
Egypt,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,818
Egypt,2015,Researchers per million inhabitants (FTE),672.9,,818
Egypt,2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,818
Egypt,2021,Researchers per million inhabitants (FTE),854.3,,818
El Salvador,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,222
El Salvador,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,222
El Salvador,2015,Researchers per million inhabitants (FTE),63.2,,222
El Salvador,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,222
El Salvador,2019,Researchers per million inhabitants (FTE),73.0,,222
El Salvador,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,222
Estonia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,233
Estonia,2005,Researchers per million inhabitants (FTE),2457.1,,233
Estonia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,233
Estonia,2010,Researchers per million inhabitants (FTE),3060.6,,233
Estonia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,233
Estonia,2015,Researchers per million inhabitants (FTE),3183.2,,233
Estonia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,233
Estonia,2020,Researchers per million inhabitants (FTE),3846.1,,233
Eswatini,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,748
Eswatini,2015,Researchers per million inhabitants (FTE),142.3,,748
Ethiopia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,231
Ethiopia,2005,Researchers per million inhabitants (FTE),21.1,,231
Ethiopia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,231
Ethiopia,2010,Researchers per million inhabitants (FTE),42.2,,231
Ethiopia,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,231
Ethiopia,2013,Researchers per million inhabitants (FTE),44.7,,231
Ethiopia,2017,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,231
Ethiopia,2017,Researchers per million inhabitants (FTE),90.5,,231
Faroe Islands,2003,Researchers per million inhabitants (FTE),1813.1,,234
Finland,2005,Gross domestic expenditure on R&D: as a percentage of GDP,3.3,,246
Finland,2005,Researchers per million inhabitants (FTE),7526.6,,246
Finland,2010,Gross domestic expenditure on R&D: as a percentage of GDP,3.7,,246
Finland,2010,Researchers per million inhabitants (FTE),7720.2,,246
Finland,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.9,,246
Finland,2015,Researchers per million inhabitants (FTE),6844.5,,246
Finland,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.9,,246
Finland,2020,Researchers per million inhabitants (FTE),7527.4,,246
France,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,,250
France,2005,Researchers per million inhabitants (FTE),3313.3,,250
France,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,250
France,2010,Researchers per million inhabitants (FTE),3873.0,,250
France,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,250
France,2015,Researchers per million inhabitants (FTE),4336.0,,250
France,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.3,,250
France,2020,Researchers per million inhabitants (FTE),4926.2,,250
Gabon,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,266
Gambia,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,270
Gambia,2009,Researchers per million inhabitants (FTE),102.9,,270
Gambia,2011,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,270
Gambia,2011,Researchers per million inhabitants (FTE),31.7,,270
Gambia,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,270
Gambia,2018,Researchers per million inhabitants (FTE),52.9,,270
Georgia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,268
Georgia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,268
Georgia,2015,Researchers per million inhabitants (FTE),1280.5,,268
Georgia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,268
Georgia,2021,Researchers per million inhabitants (FTE),1623.7,,268
Germany,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,276
Germany,2005,Researchers per million inhabitants (FTE),3335.0,,276
Germany,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,276
Germany,2010,Researchers per million inhabitants (FTE),4058.0,,276
Germany,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.9,,276
Germany,2015,Researchers per million inhabitants (FTE),4743.8,,276
Germany,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.1,,276
Germany,2020,Researchers per million inhabitants (FTE),5393.1,,276
Ghana,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,288
Ghana,2010,Researchers per million inhabitants (FTE),38.0,,288
Ghana,2015,Researchers per million inhabitants (FTE),89.1,,288
Greece,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,300
Greece,2005,Researchers per million inhabitants (FTE),1745.5,,300
Greece,2007,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,300
Greece,2007,Researchers per million inhabitants (FTE),1889.7,,300
Greece,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,300
Greece,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,300
Greece,2015,Researchers per million inhabitants (FTE),3256.0,,300
Greece,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,300
Greece,2020,Researchers per million inhabitants (FTE),4010.3,,300
Greenland,2004,Researchers per million inhabitants (FTE),701.7,,304
Guam,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,316
Guam,2005,Researchers per million inhabitants (FTE),303.0,,316
Guatemala,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,320
Guatemala,2005,Researchers per million inhabitants (FTE),29.6,,320
Guatemala,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,320
Guatemala,2010,Researchers per million inhabitants (FTE),24.8,,320
Guatemala,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,320
Guatemala,2015,Researchers per million inhabitants (FTE),22.2,,320
Guatemala,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,320
Guatemala,2021,Researchers per million inhabitants (FTE),13.9,,320
Honduras,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,340
Honduras,2015,Researchers per million inhabitants (FTE),22.4,,340
Honduras,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,340
Honduras,2019,Researchers per million inhabitants (FTE),189.9,,340
Hungary,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,348
Hungary,2005,Researchers per million inhabitants (FTE),1574.3,,348
Hungary,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,348
Hungary,2010,Researchers per million inhabitants (FTE),2149.8,,348
Hungary,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,348
Hungary,2015,Researchers per million inhabitants (FTE),2589.1,,348
Hungary,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,348
Hungary,2020,Researchers per million inhabitants (FTE),4357.9,,348
Iceland,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,352
Iceland,2005,Researchers per million inhabitants (FTE),7305.3,,352
Iceland,2009,Gross domestic expenditure on R&D: as a percentage of GDP,2.6,,352
Iceland,2009,Researchers per million inhabitants (FTE),7926.0,,352
Iceland,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,352
Iceland,2015,Researchers per million inhabitants (FTE),5887.9,,352
Iceland,2018,Gross domestic expenditure on R&D: as a percentage of GDP,2.0,,352
Iceland,2018,Researchers per million inhabitants (FTE),6088.3,,352
Iceland,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.5,,352
India,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,356
India,2005,Researchers per million inhabitants (FTE),134.9,,356
India,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,356
India,2010,Researchers per million inhabitants (FTE),156.2,,356
India,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,356
India,2015,Researchers per million inhabitants (FTE),216.0,,356
India,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,356
India,2018,Researchers per million inhabitants (FTE),252.7,,356
Indonesia,2001,Researchers per million inhabitants (FTE),199.2,,360
Indonesia,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,360
Indonesia,2009,Researchers per million inhabitants (FTE),89.5,,360
Indonesia,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,360
Indonesia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,360
Indonesia,2020,Researchers per million inhabitants (FTE),395.7,,360
Iran,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,364
Iran,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,364
Iran,2010,Researchers per million inhabitants (FTE),743.1,,364
Iran,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,364
Iran,2015,Researchers per million inhabitants (FTE),825.3,,364
Iran,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,364
Iran,2019,Researchers per million inhabitants (FTE),1659.5,,364
Iraq,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,368
Iraq,2010,Researchers per million inhabitants (FTE),432.0,,368
Iraq,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,368
Iraq,2015,Researchers per million inhabitants (FTE),65.8,,368
Iraq,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,368
Iraq,2021,Researchers per million inhabitants (FTE),169.9,,368
Ireland,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,372
Ireland,2005,Researchers per million inhabitants (FTE),2798.0,,372
Ireland,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,372
Ireland,2010,Researchers per million inhabitants (FTE),3112.6,,372
Ireland,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,372
Ireland,2015,Researchers per million inhabitants (FTE),5270.7,,372
Ireland,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,372
Ireland,2020,Researchers per million inhabitants (FTE),4769.1,,372
Israel,2005,Gross domestic expenditure on R&D: as a percentage of GDP,3.9,,376
Israel,2010,Gross domestic expenditure on R&D: as a percentage of GDP,3.9,,376
Israel,2015,Gross domestic expenditure on R&D: as a percentage of GDP,4.2,,376
Israel,2020,Gross domestic expenditure on R&D: as a percentage of GDP,5.4,,376
Italy,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,380
Italy,2005,Researchers per million inhabitants (FTE),1415.4,,380
Italy,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,380
Italy,2010,Researchers per million inhabitants (FTE),1743.3,,380
Italy,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,380
Italy,2015,Researchers per million inhabitants (FTE),2077.9,,380
Italy,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,380
Italy,2020,Researchers per million inhabitants (FTE),2671.8,,380
Japan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,3.1,,392
Japan,2005,Researchers per million inhabitants (FTE),5303.9,,392
Japan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,3.1,,392
Japan,2010,Researchers per million inhabitants (FTE),5103.6,,392
Japan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,3.2,,392
Japan,2015,Researchers per million inhabitants (FTE),5173.0,,392
Japan,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.3,,392
Japan,2020,Researchers per million inhabitants (FTE),5454.7,,392
Jordan,2008,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,400
Jordan,2015,Researchers per million inhabitants (FTE),252.4,,400
Jordan,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,400
Jordan,2016,Researchers per million inhabitants (FTE),592.4,,400
Jordan,2017,Researchers per million inhabitants (FTE),596.0,,400
Kazakhstan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,398
Kazakhstan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,398
Kazakhstan,2010,Researchers per million inhabitants (FTE),370.5,,398
Kazakhstan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,398
Kazakhstan,2015,Researchers per million inhabitants (FTE),777.1,,398
Kazakhstan,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,398
Kazakhstan,2021,Researchers per million inhabitants (FTE),629.9,,398
Kenya,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,404
Kenya,2010,Researchers per million inhabitants (FTE),221.4,,404
Kuwait,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,414
Kuwait,2005,Researchers per million inhabitants (FTE),169.1,,414
Kuwait,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,414
Kuwait,2010,Researchers per million inhabitants (FTE),136.0,,414
Kuwait,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,414
Kuwait,2015,Researchers per million inhabitants (FTE),395.8,,414
Kuwait,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,414
Kuwait,2020,Researchers per million inhabitants (FTE),173.5,,414
Kyrgyzstan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,417
Kyrgyzstan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,417
Kyrgyzstan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,417
Kyrgyzstan,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,417
Laos,2002,Researchers per million inhabitants (FTE),15.8,,418
Latvia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,428
Latvia,2005,Researchers per million inhabitants (FTE),1457.4,,428
Latvia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,428
Latvia,2010,Researchers per million inhabitants (FTE),1838.7,,428
Latvia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,428
Latvia,2015,Researchers per million inhabitants (FTE),1808.6,,428
Latvia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,428
Latvia,2020,Researchers per million inhabitants (FTE),2158.8,,428
Lesotho,2004,Researchers per million inhabitants (FTE),10.0,,426
Lesotho,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,426
Lesotho,2009,Researchers per million inhabitants (FTE),23.0,,426
Lesotho,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,426
Lesotho,2015,Researchers per million inhabitants (FTE),24.1,,426
Lithuania,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,440
Lithuania,2005,Researchers per million inhabitants (FTE),2283.6,,440
Lithuania,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,440
Lithuania,2010,Researchers per million inhabitants (FTE),2752.7,,440
Lithuania,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,440
Lithuania,2015,Researchers per million inhabitants (FTE),2785.6,,440
Lithuania,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,440
Lithuania,2020,Researchers per million inhabitants (FTE),3728.5,,440
Luxembourg,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,442
Luxembourg,2005,Researchers per million inhabitants (FTE),4864.1,,442
Luxembourg,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.4,,442
Luxembourg,2010,Researchers per million inhabitants (FTE),5145.0,,442
Luxembourg,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,442
Luxembourg,2015,Researchers per million inhabitants (FTE),4604.9,,442
Luxembourg,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,442
Luxembourg,2020,Researchers per million inhabitants (FTE),4920.3,,442
Madagascar,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,450
Madagascar,2005,Researchers per million inhabitants (FTE),47.9,,450
Madagascar,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,450
Madagascar,2010,Researchers per million inhabitants (FTE),52.0,,450
Madagascar,2011,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,450
Madagascar,2011,Researchers per million inhabitants (FTE),50.9,,450
Madagascar,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,450
Madagascar,2017,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,450
Madagascar,2017,Researchers per million inhabitants (FTE),30.6,,450
Madagascar,2018,Researchers per million inhabitants (FTE),34.0,,450
Malawi,2010,Researchers per million inhabitants (FTE),50.4,,454
Malaysia,2004,Researchers per million inhabitants (FTE),502.9,,458
Malaysia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,458
Malaysia,2010,Researchers per million inhabitants (FTE),1462.5,,458
Malaysia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,458
Malaysia,2015,Researchers per million inhabitants (FTE),2308.0,,458
Malaysia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,458
Malaysia,2020,Researchers per million inhabitants (FTE),740.8,,458
Mali,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,466
Mali,2010,Researchers per million inhabitants (FTE),29.4,,466
Mali,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,466
Mali,2015,Researchers per million inhabitants (FTE),30.8,,466
Mali,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,466
Mali,2021,Researchers per million inhabitants (FTE),30.3,,466
Malta,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,470
Malta,2005,Researchers per million inhabitants (FTE),1183.7,,470
Malta,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,470
Malta,2010,Researchers per million inhabitants (FTE),1417.0,,470
Malta,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,470
Malta,2015,Researchers per million inhabitants (FTE),1891.3,,470
Malta,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,470
Malta,2020,Researchers per million inhabitants (FTE),2296.5,,470
Mauritania,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,478
Mauritius,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,480
Mauritius,2012,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,480
Mauritius,2012,Researchers per million inhabitants (FTE),181.8,,480
Mauritius,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,480
Mauritius,2021,Researchers per million inhabitants (FTE),568.0,,480
Mexico,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,484
Mexico,2005,Researchers per million inhabitants (FTE),414.3,,484
Mexico,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,484
Mexico,2010,Researchers per million inhabitants (FTE),337.4,,484
Mexico,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,484
Mexico,2015,Researchers per million inhabitants (FTE),281.3,,484
Mexico,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,484
Mexico,2020,Researchers per million inhabitants (FTE),348.8,,484
Monaco,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,492
Monaco,2005,Researchers per million inhabitants (FTE),295.5,,492
Mongolia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,496
Mongolia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,496
Mongolia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,496
Mongolia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,496
Mongolia,2020,Researchers per million inhabitants (FTE),331.0,,496
Montenegro,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,499
Montenegro,2007,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,499
Montenegro,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,499
Montenegro,2015,Researchers per million inhabitants (FTE),834.6,,499
Montenegro,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,499
Montenegro,2019,Researchers per million inhabitants (FTE),746.8,,499
Morocco,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,504
Morocco,2010,Researchers per million inhabitants (FTE),719.8,,504
Morocco,2014,Researchers per million inhabitants (FTE),1024.4,,504
Morocco,2016,Researchers per million inhabitants (FTE),1073.5,,504
Mozambique,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,508
Mozambique,2010,Researchers per million inhabitants (FTE),38.8,,508
Mozambique,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,508
Mozambique,2015,Researchers per million inhabitants (FTE),43.0,,508
Myanmar,2002,Researchers per million inhabitants (FTE),17.5,,104
Myanmar,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,104
Myanmar,2021,Researchers per million inhabitants (FTE),18.6,,104
Namibia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,516
Namibia,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,516
Namibia,2014,Researchers per million inhabitants (FTE),149.5,,516
Nepal,2002,Researchers per million inhabitants (FTE),60.7,,524
Nepal,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,524
Netherlands,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,528
Netherlands,2005,Researchers per million inhabitants (FTE),2923.8,,528
Netherlands,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,528
Netherlands,2010,Researchers per million inhabitants (FTE),3219.0,,528
Netherlands,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,,528
Netherlands,2015,Researchers per million inhabitants (FTE),4928.9,,528
Netherlands,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.3,,528
Netherlands,2020,Researchers per million inhabitants (FTE),5911.7,,528
New Zealand,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,554
New Zealand,2005,Researchers per million inhabitants (FTE),3140.2,,554
New Zealand,2009,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,554
New Zealand,2009,Researchers per million inhabitants (FTE),3724.0,,554
New Zealand,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,554
New Zealand,2015,Researchers per million inhabitants (FTE),5417.7,,554
New Zealand,2019,Gross domestic expenditure on R&D: as a percentage of GDP,1.4,,554
New Zealand,2019,Researchers per million inhabitants (FTE),5854.0,,554
Nicaragua,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,558
Niger,2005,Researchers per million inhabitants (FTE),7.4,,562
Niger,2013,Researchers per million inhabitants (FTE),26.5,,562
Nigeria,2007,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,566
Nigeria,2007,Researchers per million inhabitants (FTE),38.8,,566
North Macedonia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,807
North Macedonia,2005,Researchers per million inhabitants (FTE),540.2,,807
North Macedonia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,807
North Macedonia,2010,Researchers per million inhabitants (FTE),532.1,,807
North Macedonia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,807
North Macedonia,2015,Researchers per million inhabitants (FTE),858.5,,807
North Macedonia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,807
North Macedonia,2021,Researchers per million inhabitants (FTE),752.8,,807
Norway,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,578
Norway,2005,Researchers per million inhabitants (FTE),4576.6,,578
Norway,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,578
Norway,2010,Researchers per million inhabitants (FTE),5413.8,,578
Norway,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,578
Norway,2015,Researchers per million inhabitants (FTE),5891.0,,578
Norway,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.3,,578
Norway,2020,Researchers per million inhabitants (FTE),6698.8,,578
